SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,INIT,MAX_DIM,CUTOFF,DEPTH,OUTPUT,HAS_ERRORS
2650748,quest-energy,1,1,,1,bench,12,|0..0>,16,1E-16,13,"Full simulation time: 774.536 ms
Norm: 0.999638
Max link dim: 16
Avg link dim: 10.090909
Amplitude: (-0.0262726,-0.00906393)

Overlap time: 575.769 ms
Amplitude: (0.0172313,-0.000639503)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650748.0      00:00:03            673 ",FALSE
2650749,quest-energy,1,1,,1,bench,12,|0..0>,256,1E-16,13,"Full simulation time: 805.679 ms
Norm: 1.000000
Max link dim: 63
Avg link dim: 17.545455
Amplitude: (-0.025889,-0.00928844)

Overlap time: 573.106 ms
Amplitude: (0.0172313,-0.000639503)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650749.0      00:00:03            622 ",FALSE
2650750,quest-energy,1,1,,1,bench,12,|0..0>,16777216,1E-16,13,"Full simulation time: 802.858 ms
Norm: 1.000000
Max link dim: 63
Avg link dim: 17.545455
Amplitude: (-0.025889,-0.00928844)

Overlap time: 575.069 ms
Amplitude: (0.0172313,-0.000639503)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650750.0      00:00:03            694 ",FALSE
2650751,quest-energy,1,1,,1,qft,12,|0..0>,16777216,1E-16,13,"Full simulation time: 321.774 ms
Norm: 1.000000
Max link dim: 1
Avg link dim: 1.000000

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650751.0      00:00:02            315 ",FALSE
2650752,quest-energy,1,1,,1,qft,12,|Wn>,16777216,1E-16,13,"Full simulation time: 252.076 ms
Norm: 1.000000
Max link dim: 8
Avg link dim: 5.272727

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650752.0      00:00:02            276 ",FALSE
2650753,quest-energy,1,1,,1,bench,14,|0..0>,32,1E-16,15,"Full simulation time: 1160.99 ms
Norm: 0.999944
Max link dim: 32
Avg link dim: 17.307692
Amplitude: (0.00168483,-0.00501759)

Overlap time: 897.658 ms
Amplitude: (0.00191604,0.00416279)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650753.0      00:00:03            720 ",FALSE
2650754,quest-energy,1,1,,1,bench,14,|0..0>,256,1E-16,15,"Full simulation time: 1377.22 ms
Norm: 1.000000
Max link dim: 128
Avg link dim: 29.923077
Amplitude: (0.0017198,-0.00491699)

Overlap time: 889.412 ms
Amplitude: (0.00191604,0.00416279)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650754.0      00:00:04            870 ",FALSE
2650755,quest-energy,1,1,,1,bench,14,|0..0>,16777216,1E-16,15,"Full simulation time: 1378.29 ms
Norm: 1.000000
Max link dim: 128
Avg link dim: 29.923077
Amplitude: (0.0017198,-0.00491699)

Overlap time: 892.146 ms
Amplitude: (0.00191604,0.00416279)

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650755.0      00:00:04            886 ",FALSE
2650756,quest-energy,1,1,,1,qft,14,|0..0>,16777216,1E-16,15,"Full simulation time: 398.844 ms
Norm: 1.000000
Max link dim: 1
Avg link dim: 1.000000

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650756.0      00:00:02            358 ",FALSE
2650757,quest-energy,1,1,,1,qft,14,|Wn>,16777216,1E-16,15,"Full simulation time: 342.208 ms
Norm: 1.000000
Max link dim: 9
Avg link dim: 5.384615

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2650757.0      00:00:02            345 ",FALSE
