SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,INIT,MAX_DIM,CUTOFF,DEPTH,RUNTIME,ENERGY
2650748,quest-energy,1,1,NA,1,bench,12,|0..0>,16,1e-16,13,0.7745359999999999,673
2650749,quest-energy,1,1,NA,1,bench,12,|0..0>,256,1e-16,13,0.8056789999999999,622
2650750,quest-energy,1,1,NA,1,bench,12,|0..0>,16777216,1e-16,13,0.802858,694
2650751,quest-energy,1,1,NA,1,qft,12,|0..0>,16777216,1e-16,13,0.321774,315
2650752,quest-energy,1,1,NA,1,qft,12,|Wn>,16777216,1e-16,13,0.25207599999999997,276
2650753,quest-energy,1,1,NA,1,bench,14,|0..0>,32,1e-16,15,1.16099,720
2650754,quest-energy,1,1,NA,1,bench,14,|0..0>,256,1e-16,15,1.3772200000000001,870
2650755,quest-energy,1,1,NA,1,bench,14,|0..0>,16777216,1e-16,15,1.37829,886
2650756,quest-energy,1,1,NA,1,qft,14,|0..0>,16777216,1e-16,15,0.398844,358
2650757,quest-energy,1,1,NA,1,qft,14,|Wn>,16777216,1e-16,15,0.342208,345
2650762,quest-energy,1,1,NA,1,bench,16,|0..0>,64,1e-16,17,1.84333,945
2650763,quest-energy,1,1,NA,1,bench,16,|0..0>,256,1e-16,17,2.88556,1320
2650764,quest-energy,1,1,NA,1,bench,16,|0..0>,16777216,1e-16,17,2.8076,1150
2650765,quest-energy,1,1,NA,1,qft,16,|0..0>,16777216,1e-16,17,0.48206,326
2650766,quest-energy,1,1,NA,1,qft,16,|Wn>,16777216,1e-16,17,0.475178,294
2650767,quest-energy,1,1,NA,1,bench,18,|0..0>,128,1e-16,19,4.3505,1740
2650768,quest-energy,1,1,NA,1,bench,18,|0..0>,256,1e-16,19,7.96953,2820
2650769,quest-energy,1,1,NA,1,bench,18,|0..0>,16777216,1e-16,19,10.585,3360
2650770,quest-energy,1,1,NA,1,qft,18,|0..0>,16777216,1e-16,19,0.595939,345
2650771,quest-energy,1,1,NA,1,qft,18,|Wn>,16777216,1e-16,19,0.610556,360
2650772,quest-energy,1,1,NA,1,bench,20,|0..0>,256,1e-16,21,17.617900000000002,5050
2650773,quest-energy,1,1,NA,1,bench,20,|0..0>,256,1e-16,21,17.117900000000002,4740
2650774,quest-energy,1,1,NA,1,bench,20,|0..0>,16777216,1e-16,21,53.2255,14380
2650775,quest-energy,1,1,NA,1,qft,20,|0..0>,16777216,1e-16,21,0.68283,364
2650776,quest-energy,1,1,NA,1,qft,20,|Wn>,16777216,1e-16,21,0.811472,346
2650777,quest-energy,1,1,NA,1,bench,22,|0..0>,512,1e-16,23,103.852,25070
2650778,quest-energy,1,1,NA,1,bench,22,|0..0>,256,1e-16,23,30.6934,8260
2650779,quest-energy,1,1,NA,1,bench,22,|0..0>,16777216,1e-16,23,331.654,81070
2650780,quest-energy,1,1,NA,1,qft,22,|0..0>,16777216,1e-16,23,0.869382,370
2650781,quest-energy,1,1,NA,1,qft,22,|Wn>,16777216,1e-16,23,1.08121,549
