SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,SLURM_CPU_FREQ_REQ,OMP_NUM_THREADS,PROG,QREG_SIZE,DEPTH,OUTPUT,HAS_ERRORS
2493327,quest-energy,1,1,Low,128,qft,32,16,"137787

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493327.0      00:02:24         50.27K ",FALSE
2493328,quest-energy,1,1,Medium,128,qft,32,16,"129454

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493328.0      00:02:14         44.39K ",FALSE
2493329,quest-energy,1,1,Highm1,128,qft,32,16,"129360

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493329.0      00:02:13         47.83K ",FALSE
2493330,quest-energy,1,1,High,128,qft,32,16,"124895

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493330.0      00:02:09         60.18K ",FALSE
2493331,quest-energy,2,2,Low,128,qft,32,16,"89155.6

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493331.0      00:01:35         63.18K ",FALSE
2493332,quest-energy,2,2,Medium,128,qft,32,16,"84082.6

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493332.0      00:01:30         65.43K ",FALSE
2493333,quest-energy,2,2,Highm1,128,qft,32,16,"84433.1

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493333.0      00:01:30         63.29K ",FALSE
2493334,quest-energy,2,2,High,128,qft,32,16,"80466.4

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493334.0      00:01:24         76.94K ",FALSE
2493335,quest-energy,4,4,Low,128,qft,32,16,"50444.9

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493335.0      00:00:55         72.26K ",FALSE
2493336,quest-energy,4,4,Medium,128,qft,32,16,"47400.6

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493336.0      00:00:51         70.33K ",FALSE
2493337,quest-energy,4,4,Highm1,128,qft,32,16,"47395.3

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493337.0      00:00:52         69.03K ",FALSE
2493338,quest-energy,4,4,High,128,qft,32,16,"45453.5

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493338.0      00:00:50         88.98K ",FALSE
2493339,quest-energy,8,8,Low,128,qft,32,16,"30143.3

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493339.0      00:00:40         94.37K ",FALSE
2493340,quest-energy,8,8,Medium,128,qft,32,16,"27739.5

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493340.0      00:00:32         90.22K ",FALSE
2493341,quest-energy,8,8,Highm1,128,qft,32,16,"28385.2

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493341.0      00:00:33         87.80K ",FALSE
2493342,quest-energy,8,8,High,128,qft,32,16,"27089.9

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493342.0      00:00:31        107.36K ",FALSE
2493343,quest-energy,16,16,Low,128,qft,32,16,"17288.6

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493343.0      00:00:25        116.70K ",FALSE
2493344,quest-energy,16,16,Medium,128,qft,32,16,"15900.6

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493344.0      00:00:21        108.88K ",FALSE
2493345,quest-energy,16,16,Highm1,128,qft,32,16,"16300.5

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493345.0      00:00:23        111.07K ",FALSE
2493346,quest-energy,16,16,High,128,qft,32,16,"15210.9

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493346.0      00:00:20        131.60K ",FALSE
2493347,quest-energy,32,32,Low,128,qft,32,16,"9810.02

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493347.0      00:00:20        157.97K ",FALSE
2493348,quest-energy,32,32,Medium,128,qft,32,16,"9242.81

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493348.0      00:00:18        148.83K ",FALSE
2493349,quest-energy,32,32,Highm1,128,qft,32,16,"9005.29

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493349.0      00:00:15        132.90K ",FALSE
2493350,quest-energy,32,32,High,128,qft,32,16,"8779.56

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493350.0      00:00:15        180.38K ",FALSE
2493351,quest-energy,64,64,Low,128,qft,32,16,"5367.74

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493351.0      00:00:14        230.23K ",FALSE
2493352,quest-energy,64,64,Medium,128,qft,32,16,"4965.9

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493352.0      00:00:13        217.82K ",FALSE
2493353,quest-energy,64,64,Highm1,128,qft,32,16,"5041.37

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493353.0      00:00:13        221.14K ",FALSE
2493354,quest-energy,64,64,High,128,qft,32,16,"4667.47

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493354.0      00:00:12        240.21K ",FALSE
2493355,quest-energy,128,128,Low,128,qft,32,16,"2365.72

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493355.0      00:00:11        336.07K ",FALSE
2493356,quest-energy,128,128,Medium,128,qft,32,16,"2094.43

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493356.0      00:00:10        317.54K ",FALSE
2493357,quest-energy,128,128,Highm1,128,qft,32,16,"2105.72

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493357.0      00:00:10        317.95K ",FALSE
2493358,quest-energy,128,128,High,128,qft,32,16,"1796.78

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493358.0      00:00:10        332.05K ",FALSE
2493359,quest-energy,1,1,Low,128,qft,33,16,"281661

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493359.0      00:04:48        110.25K ",FALSE
2493360,quest-energy,1,1,Medium,128,qft,33,16,"272476

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493360.0      00:04:39        102.79K ",FALSE
2493361,quest-energy,1,1,Highm1,128,qft,33,16,"271720

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493361.0      00:04:37        107.68K ",FALSE
2493362,quest-energy,1,1,High,128,qft,33,16,"251233

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493362.0      00:04:17        132.18K ",FALSE
2493363,quest-energy,2,2,Low,128,qft,33,16,"189697

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493363.0      00:03:19        130.30K ",FALSE
2493364,quest-energy,2,2,Medium,128,qft,33,16,"179700

JobID           Elapsed ConsumedEnergy 
------------ ---------- -------------- 
2493364.0      00:03:07        126.76K ",FALSE
